Date,Open,High,Low,Close,Adj Close,Var.Day(%),Class,Volume
2000-04-19,15438,15536,14850,14926,14926,-3.13,Baixa,0
2000-04-20,14938,15204,14938,15203,15203,1.86,Alta,0
2000-04-24,15204,15225,14625,14794,14794,-2.69,Baixa,0
2000-04-25,14798,15403,14798,15401,15401,4.10,Alta,0
2000-04-26,15401,15517,15268,15446,15446,0.29,Alta,0
2000-04-27,15446,15487,14835,15440,15440,-0.04,De Lado,0
2000-04-28,15450,15907,15450,15538,15538,0.63,Alta,0
2000-05-02,15596,15944,15523,15524,15524,-0.09,Baixa,0
2000-05-03,15525,15525,14980,15109,15109,-2.67,Baixa,0
2000-05-04,15111,15144,14873,14970,14970,-0.92,Baixa,0
2000-05-05,14967,15218,14811,15218,15218,1.66,Alta,0
2000-05-08,15220,15223,14867,14891,14891,-2.15,Baixa,0
2000-05-09,14897,15041,14412,14582,14582,-2.08,Baixa,0
2000-05-10,14570,14586,14238,14434,14434,-1.01,Baixa,0
2000-05-11,14447,14723,14398,14499,14499,0.45,Alta,0
2000-05-12,14496,14638,14350,14459,14459,-0.28,Baixa,0
2000-05-15,14469,15070,14397,15056,15056,4.13,Alta,0
2000-05-16,15074,15445,15074,15360,15360,2.02,Alta,0
2000-05-17,15361,15361,14856,14871,14871,-3.18,Baixa,0
2000-05-18,14876,14973,14620,14627,14627,-1.64,Baixa,0
2000-05-19,14594,14619,13920,14327,14327,-2.05,Baixa,0
2000-05-22,14330,14369,13583,13891,13891,-3.04,Baixa,0
2000-05-23,13891,14145,13583,13587,13587,-2.19,Baixa,0
2000-05-24,13592,14197,13556,14166,14166,4.26,Alta,0
2000-05-25,14187,14499,14027,14186,14186,0.14,Alta,0
2000-05-26,14204,14549,14172,14542,14542,2.51,Alta,0
2000-05-29,14541,14858,14541,14773,14773,1.59,Alta,0
2000-05-30,14815,15308,14815,15249,15249,3.22,Alta,0
2000-05-31,15251,15328,14931,14957,14957,-1.91,Baixa,0
2000-06-01,14967,15473,14967,15450,15450,3.30,Alta,0
2000-06-02,15518,16261,15518,16222,16222,5.00,Alta,0
2000-06-05,16222,16312,15975,16023,16023,-1.23,Baixa,0
2000-06-06,16018,16173,15827,15947,15947,-0.47,Baixa,0
2000-06-07,15955,16278,15709,16272,16272,2.04,Alta,0
2000-06-08,16286,16640,16227,16399,16399,0.78,Alta,0
2000-06-09,16421,16561,16200,16342,16342,-0.35,Baixa,0
2000-06-12,16351,16365,16084,16097,16097,-1.50,Baixa,0
2000-06-13,16100,16360,16075,16354,16354,1.60,Alta,0
2000-06-14,16365,16523,16135,16366,16366,0.07,Alta,0
2000-06-15,16369,16630,16325,16561,16561,1.19,Alta,0
2000-06-16,16567,16598,16379,16425,16425,-0.82,Baixa,0
2000-06-19,16423,16863,16411,16850,16850,2.59,Alta,0
2000-06-20,16854,16952,16708,16844,16844,-0.04,De Lado,0
2000-06-21,16854,17396,16834,17254,17254,2.43,Alta,0
2000-06-23,16977,17266,16910,16977,16977,-1.61,Baixa,0
2000-06-26,16977,17019,16685,16745,16745,-1.37,Baixa,0
2000-06-27,16743,16780,16388,16512,16512,-1.39,Baixa,0
2000-06-28,16532,17101,16493,16842,16842,2.00,Alta,0
2000-06-29,16830,16850,16329,16407,16407,-2.58,Baixa,0
2000-06-30,16404,16836,16400,16728,16728,1.96,Alta,0
2000-07-03,16747,17099,16743,17089,17089,2.16,Alta,0
2000-07-04,17106,17340,17088,17279,17279,1.11,Alta,0
2000-07-05,17285,17362,17086,17135,17135,-0.83,Baixa,0
2000-07-06,17148,17366,17024,17348,17348,1.24,Alta,0
2000-07-07,17352,17754,17352,17599,17599,1.45,Alta,0
2000-07-10,17620,17795,17444,17472,17472,-0.72,Baixa,0
2000-07-11,17473,17473,16827,16881,16881,-3.38,Baixa,0
2000-07-12,16893,17176,16693,17053,17053,1.02,Alta,0
2000-07-13,17057,17383,16416,16444,16444,-3.57,Baixa,0
2000-07-14,16439,16885,16390,16881,16881,2.66,Alta,0
2000-07-17,16890,17395,16890,17388,17388,3.00,Alta,0
2000-07-18,17379,17566,17281,17369,17369,-0.11,Baixa,0
2000-07-19,17354,17358,16868,16928,16928,-2.54,Baixa,0
2000-07-20,16951,17353,16951,17204,17204,1.63,Alta,0
2000-07-21,17207,17365,17071,17318,17318,0.66,Alta,0
2000-07-24,17314,17588,17314,17386,17386,0.39,Alta,0
2000-07-25,17390,17530,17046,17049,17049,-1.94,Baixa,0
2000-07-26,17049,17211,16840,17121,17121,0.42,Alta,0
2000-07-27,17121,17225,16923,16949,16949,-1.00,Baixa,0
2000-07-28,16949,17039,16448,16486,16486,-2.73,Baixa,0
2000-07-31,16487,16713,16455,16455,16455,-0.19,Baixa,0
2000-08-01,16475,16591,16127,16290,16290,-1.00,Baixa,0
2000-08-02,16284,16535,16121,16314,16314,0.15,Alta,0
2000-08-03,16248,16761,16073,16721,16721,2.49,Alta,0
2000-08-04,16727,16907,16716,16761,16761,0.24,Alta,0
2000-08-07,16772,17014,16769,16996,16996,1.40,Alta,0
2000-08-08,17005,17062,16858,16885,16885,-0.65,Baixa,0
2000-08-09,16894,16977,16511,16534,16534,-2.08,Baixa,0
2000-08-10,16519,17023,16501,16835,16835,1.82,Alta,0
2000-08-11,16846,17395,16705,17395,17395,3.33,Alta,0
2000-08-14,17402,17926,17334,17811,17811,2.39,Alta,0
2000-08-15,17811,17910,17690,17744,17744,-0.38,Baixa,0
2000-08-16,17741,17771,17275,17331,17331,-2.33,Baixa,0
2000-08-17,17326,17858,17321,17703,17703,2.15,Alta,0
2000-08-18,17703,17780,17258,17314,17314,-2.20,Baixa,0
2000-08-21,17317,17420,17066,17083,17083,-1.33,Baixa,0
2000-08-22,17086,17428,17086,17224,17224,0.83,Alta,0
2000-08-23,17253,17455,17137,17450,17450,1.31,Alta,0
2000-08-24,17454,17454,17187,17311,17311,-0.80,Baixa,0
2000-08-25,17316,17668,17316,17643,17643,1.92,Alta,0
2000-08-28,17657,17686,17380,17460,17460,-1.04,Baixa,0
2000-08-29,17454,17490,17235,17355,17355,-0.60,Baixa,0
2000-08-30,17359,17563,17309,17414,17414,0.34,Alta,0
2000-08-31,17417,17563,17327,17347,17347,-0.38,Baixa,0
2000-09-01,17360,17577,17360,17577,17577,1.33,Alta,0
2000-09-04,17577,17716,17569,17613,17613,0.20,Alta,0
2000-09-05,17614,17639,17417,17425,17425,-1.07,Baixa,0
2000-09-06,17442,17648,17442,17590,17590,0.95,Alta,0
2000-09-08,17594,17692,17428,17433,17433,-0.89,Baixa,0
2000-09-11,17443,17475,17236,17288,17288,-0.83,Baixa,0
2000-09-12,17285,17304,16883,16883,16883,-2.34,Baixa,0
2000-09-13,16888,17092,16877,16999,16999,0.69,Alta,0
2000-09-14,17032,17108,16731,16769,16769,-1.35,Baixa,0
